from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id,max_waiting_time
U142Z301,U142Z301,2,240,,,0
U480Z301,U480Z301,2,180,,,0
U2816Z301,U2816Z301,2,120,,,0
U458Z301,U458Z301,2,120,,,0
U2236Z301,U2236Z301,2,120,,,0
U463Z301,U463Z301,2,120,,,0
U2848Z301,U2848Z301,2,120,,,0
U134Z301,U134Z301,2,120,,,0
U474Z301,U474Z301,2,120,,,0
U115Z301,U115Z301,2,120,,,0
U2781Z301,U2781Z301,2,120,,,0
U818Z301,U818Z301,2,120,,,0
U1383Z301,U1383Z301,2,120,,,0
U142Z301,U142Z101P,2,300,,,0
U142Z101P,U142Z301,2,300,,,0
U142Z301,U142Z102P,2,300,,,0
U142Z102P,U142Z301,2,300,,,0
U458Z301,U458Z101P,2,180,,,0
U458Z101P,U458Z301,2,180,,,0
U458Z301,U458Z102P,2,180,,,0
U458Z102P,U458Z301,2,180,,,0
U458Z301,U458Z1P,2,180,,,0
U458Z1P,U458Z301,2,180,,,0
U458Z301,U458Z10P,2,180,,,0
U458Z10P,U458Z301,2,180,,,0
U458Z301,U458Z11P,2,180,,,0
U458Z11P,U458Z301,2,180,,,0
U458Z301,U458Z11,2,180,,,0
U458Z11,U458Z301,2,180,,,0
U458Z301,U458Z12,2,180,,,0
U458Z12,U458Z301,2,180,,,0
U458Z301,U458Z13P,2,180,,,0
U458Z13P,U458Z301,2,180,,,0
U458Z301,U458Z13,2,180,,,0
U458Z13,U458Z301,2,180,,,0
U458Z301,U458Z16,2,180,,,0
U458Z16,U458Z301,2,180,,,0
U458Z301,U458Z17P,2,180,,,0
U458Z17P,U458Z301,2,180,,,0
U458Z301,U458Z17,2,180,,,0
U458Z17,U458Z301,2,180,,,0
U458Z301,U458Z2P,2,180,,,0
U458Z2P,U458Z301,2,180,,,0
U458Z301,U458Z7,2,180,,,0
U458Z7,U458Z301,2,180,,,0
U458Z301,U458Z8P,2,180,,,0
U458Z8P,U458Z301,2,180,,,0
U458Z301,U458Z9P,2,180,,,0
U458Z9P,U458Z301,2,180,,,0
U336Z1,U336Z1P,1,,959_31_260101,903_73_250715,600
U651Z2P,U651Z5P,1,,93_1661_251110,903_100_251112,600
U651Z2P,U651Z5P,1,,93_1656_251110,903_101_251112,600
U97Z1P,U97Z2P,1,,109_1121_241216,163_1154_260101,120
U97Z1P,U97Z2P,1,,109_241_251004,163_1154_260101,120
U28Z1P,U28Z1P,1,,221_1545_251220,163_1154_260101,180
U28Z1P,U28Z1P,1,,221_2169_260112,163_1154_260101,180
U28Z2P,U28Z2P,1,,221_1546_251220,163_1123_260101,180
U1071Z3P,U1071Z3P,1,,909_271_251110,916_175_260101,180
U1071Z3P,U1071Z3P,1,,909_264_251110,916_177_260101,600
U97Z1P,U97Z2P,1,,109_820_240701,163_1136_260101,120
U97Z1P,U97Z2P,1,,109_1042_251004,163_1136_260101,120
U28Z1P,U28Z1P,1,,221_1519_251220,163_1136_260101,180
U28Z1P,U28Z1P,1,,221_2140_260112,163_1136_260101,180
U28Z2P,U28Z2P,1,,221_1520_251220,163_1155_260101,180
U97Z1P,U97Z2P,1,,109_253_250929,163_1156_260101,120
U28Z1P,U28Z1P,1,,221_1547_251220,163_1156_260101,180
U28Z1P,U28Z1P,1,,221_2171_260112,163_1156_260101,180
U28Z2P,U28Z2P,1,,221_1544_251220,163_1121_260101,180
U97Z1P,U97Z2P,1,,109_1157_241221,163_1122_260101,120
U28Z1P,U28Z1P,1,,221_1494_251220,163_1122_260101,180
U28Z1P,U28Z1P,1,,221_2195_260112,163_1122_260101,180
U28Z2P,U28Z2P,1,,221_1495_251220,163_1174_260101,180
U97Z1P,U97Z2P,1,,109_270_250929,163_1175_260101,120
U28Z1P,U28Z1P,1,,221_1523_251220,163_1175_260101,180
U28Z1P,U28Z1P,1,,221_2173_260112,163_1175_260101,180
U28Z2P,U28Z2P,1,,221_1491_251220,163_1187_260102,180
U28Z2P,U28Z2P,1,,221_1493_251220,163_1137_260101,180
U97Z1P,U97Z2P,1,,109_1083_250929,163_1138_260101,120
U28Z1P,U28Z1P,1,,221_1496_251220,163_1138_260101,180
U28Z1P,U28Z1P,1,,221_2144_260112,163_1138_260101,180
U28Z2P,U28Z2P,1,,221_1518_251220,163_1172_260101,180
U28Z2P,U28Z2P,1,,163_1186_260102,209_1962_260102,180
U461Z301,U461Z2P,1,,1309_2515_251215,209_1589_260102,300
U461Z301,U461Z2P,1,,1309_2512_251215,209_1589_260102,300
U461Z301,U461Z2P,1,,1309_2527_251214,209_1591_260102,600
U461Z301,U461Z2P,1,,1309_2537_251214,209_1593_260102,600
U461Z301,U461Z2P,1,,1309_2547_251215,209_1595_260102,300
U461Z301,U461Z2P,1,,1309_2561_251215,209_1597_260102,300
U461Z301,U461Z2P,1,,1309_9165_251214,209_1599_260101,600
U461Z301,U461Z2P,1,,1309_2509_251214,209_1601_260102,300
U461Z301,U461Z2P,1,,1309_2521_251215,209_1603_260102,300
U461Z301,U461Z2P,1,,1309_2531_251214,209_1605_260102,600
